Temperature (ºC), Altitude (km), Velocity (m/s), Power (%)
-270, 12163, 101, 100
-270, 12163, 102, 99
-270, 12164, 101, 98
-269, 12165, 100, 97
-270, 12162, 100, 97
-270, 12163, 100, 96
-270, 12164, 101, 94
-269, 12165, 102, 95
-269, 12165, 103, 96
-268, 12166, 103, 97
-268, 12167, 103, 98
-267, 12164, 104, 99
-267, 12164, 105, 98
-267, 12165, 106, 96
-267, 12164, 107, 94
-268, 12162, 108, 93
-268, 12161, 109, 94
-269, 12160, 105, 95
-269, 12161, 103, 96
-268, 12162, 100, 97
-268, 12163, 100, 98
-268, 12165, 101, 99
-268, 12166, 101, 98
-267, 12166, 101, 97
-266, 12164, 100, 97
-265, 12163, 101, 94
-265, 12163, 102, 93
-264, 12167, 103, 92
-264, 12167, 104, 91
-264, 12168, 103, 91
-265, 12167, 101, 90
-265, 12168, 102, 94
-264, 12167, 101, 93
-264, 12168, 103, 97
-263, 12169, 104, 97
-263, 12169, 105, 100
-263, 12168, 103, 99
-263, 12169, 101, 98
-264, 12167, 101, 97
-264, 12167, 100, 94
-263, 12167, 101, 95
-263, 12163, 102, 96
-264, 12165, 101, 98
-264, 12165, 100, 97
-264, 12164, 100, 97
-265, 12163, 102, 98
-265, 12162, 102, 97
-265, 12161, 103, 98
-266, 12165, 104, 97
-266, 12164, 103, 95
-266, 12163, 102, 93
-267, 12163, 102, 96
-267, 12166, 101, 98
-267, 12167, 100, 97
-267, 12168, 100, 97
-268, 12167, 101, 96
-268, 12168, 103, 96
-268, 12167, 101, 98
-269, 12168, 100, 97
-269, 12167, 100, 97
-269, 12169, 101, 99
-269, 12165, 104, 99
-269, 12166, 103, 98
-269, 12165, 102, 97
-270, 12167, 100, 97
-270, 12168, 101, 97
-270, 12169, 102, 99
-270, 12166, 102, 98
-269, 12165, 103, 95
-270, 12167, 102, 94
-271, 12168, 101, 90
-271, 12169, 102, 94
-271, 12166, 101, 94
-269, 12166, 103, 97
-271, 12165, 104, 97
-270, 12167, 105, 96
-270, 12168, 103, 97
-270, 12169, 102, 98
-269, 12165, 101, 97
-271, 12167, 100, 97
-272, 12164, 101, 98
-273, 12163, 102, 99
-271, 12167, 101, 98
-269, 12165, 101, 98
-271, 12164, 102, 97
